medicamento_en,medicamento_principal,sustituto1_en,sustituto2_en,sustituto3_en,sustituto4_en,sustituto5_en,sustituto1_es,sustituto2_es,sustituto3_es,sustituto4_es,sustituto5_es
augmentin 625 duo tablet,augmentin 625 duo tablet,penciclav 500 mg/125 mg tablet,moxikind-cv 625 tablet,moxiforce-cv 625 tablet,fightox 625 tablet,novamox cv 625mg tablet,penciclav 500 mg/125 mg de tableta,moxikind-cv 625 tableta,moxiforce-cv 625 tableta,pableta fultox 625,novamox cv 625mg tableta
azithral 500 tablet,azitral 500 tableta,zithrocare 500mg tablet,azax 500 tablet,zady 500 tablet,cazithro 500mg tablet,trulimax 500mg tablet,zithrocare 500mg tableta,azax 500 tableta,zady 500 tableta,cazithro 500mg tableta,tableta trulimax 500mg
ascoril ls syrup,ascoril ls jarabe,solvin ls syrup,ambrodil-lx syrup,zerotuss xp syrup,capex ls syrup,broxum ls syrup,solvin ls jarabe,jarabe de ambrodil-lx,jarabe de zerotuss xp,jarabe de capex ls,broxum ls jarabe
allegra 120mg tablet,tableta allegra 120mg,lcfex tablet,etofex 120mg tablet,nexofex 120mg tablet,fexise 120mg tablet,histafree 120 tablet,tableta lcfex,tableta etofex 120mg,tableta nexofex 120mg,tableta fexise 120mg,histafree 120 tableta
avil 25 tablet,tableta avil 25,eralet 25mg tablet,,,,,tableta eralet 25 mg,,,,
allegra-m tablet,tableta allegra-m,emlukast-fx tablet,lcfex-mont tablet,fixar 10mg/120mg tablet,histakind-m tablet,histafree-m tablet,tableta emlukast-fx,tableta lcfex-mont,tableta fixar 10mg/120mg,tableta histakind-m,tableta histafree-m
amoxyclav 625 tablet,amoxyclav 625 tableta,penciclav 500 mg/125 mg tablet,moxikind-cv 625 tablet,moxiforce-cv 625 tablet,fightox 625 tablet,novamox cv 625mg tablet,penciclav 500 mg/125 mg de tableta,moxikind-cv 625 tableta,moxiforce-cv 625 tableta,pableta fultox 625,novamox cv 625mg tableta
azee 500 tablet,azee 500 tableta,zithrocare 500mg tablet,azax 500 tablet,zady 500 tablet,cazithro 500mg tablet,trulimax 500mg tablet,zithrocare 500mg tableta,azax 500 tableta,zady 500 tableta,cazithro 500mg tableta,tableta trulimax 500mg
atarax 25mg tablet,tableta atarax 25mg,hd zine 25mg tablet,hyzox 25 tablet,hizet 25mg tablet,hydil 25mg tablet,zyzine 25mg tablet,tableta hd zine 25mg,hyzox 25 tableta,tableta hizet 25mg,tableta hydil 25mg,zyzine 25mg tableta
ascoril d plus syrup sugar free,ascoril d mas jarabe de azucar sin azucar,arnikof d syrup,cofsolve-d syrup,tucin d syrup,akof-d syrup sugar free,krisbro d syrup,arnikof d jarabe,jarabe de cofsolve-d,jarabe de tucina d,akof-d jarabe de azucar sin azucar,krisbro d jarabe
